investmentwatchblog.com,86356,721240,196,2.3,72.49,41.39,38.37,13.61,4.44,2.12,0.07
sputniknews.com,916,65950000,160,2.24,61.8,47.82,5.85,33.24,11.91,0.92,0.26
neonnettle.com,112842,490900,135,1.54,85.45,42.27,15.25,8.09,29.43,4.93,0.02
beforeitsnews.com,19457,3580000,362,3.54,39.68,81.32,3.13,6.94,6.77,1.82,0.02
cannasos.com,130173,431030,142,1.97,72.48,22.74,0.24,76.44,0.58,0,0
clashdaily.com,178556,285410,140,2.11,57.63,56.16,26.17,3.39,10.92,3.33,0.04
coed.com,118768,345620,53,3.77,71.61,40.65,5.9,49.45,1.82,1.73,0.45
conservativedailypost.com,171363,349110,80,1.77,73.43,36.42,3.62,10.8,45.98,3.19,0
dailyheadlines.com,460960,102000,77,1.38,76.99,81.25,0.05,1.37,15.2,2.13,0
dailyheadlines.net,437207,110030,90,1.48,67.23,93.13,0.26,0.31,4.87,1.42,0
empirenews.net,707025,57660,23,1.21,84.52,22.73,2.91,58.93,15.42,0,0
fakingnews.com,186502,327400,40,1.32,86.21,27.03,0.58,31.57,40.82,0,0
madworldnews.com,273024,198610,60,1.36,83.86,21.68,6.04,21.75,49.89,0.14,0.5
mediamass.net,31412,2550000,38,1.43,80.05,6.2,0.96,91.84,0.96,0,0.04
newswithviews.com,322161,146100,139,1.62,72.6,51.41,28.9,11.59,5.86,2.23,0
onepoliticalplaza.com,139249,243490,1210,12,23.3,75.45,2.3,21.15,1.1,0,0
teaparty.org,119884,531360,140,1.93,70.62,76.62,1.58,6.94,8.72,6.14,0
thecommonsenseshow.com,88552,706530,155,2.15,70.6,55.14,28.62,13.64,1.95,0.66,0
therightscoop.com,69541,1220000,139,1.72,62.98,65.79,16.41,3.16,13.21,1.41,0.02
thetruthseeker.co.uk,192906,204570,343,3.54,39.42,83.6,2.87,8.51,4.21,0.71,0.09
threepercenternation.com,330741,147960,74,1.46,74.72,89.72,1.65,0.45,6.52,1.66,0
vigilantcitizen.com,54839,1210000,163,2.04,63.39,53.87,7.99,20.41,16.64,0.9,0.18
weeklyworldnews.com,578221,68310,35,1.48,77.4,35.26,2.06,57.46,5.22,0,0
dailysnark.com,84379,943760,28,1.14,91.21,5.35,1.45,4.08,89.12,0,0
elmundotoday.com,33948,2200000,63,1.72,75.77,41.94,14.78,23.04,19.93,0.31,0
